,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
58,58,20,20,-24,-2,-8,-20,2,-2,-16,-6,14,4,2,14,-10,10,-18,-4,6,10,10,-16,14,2,6,4,2,-2,-8,-2
59,59,21,21,-23,-3,-7,-19,3,-3,-17,-5,15,3,1,15,-11,11,-19,-5,5,9,11,-17,15,1,5,3,1,-1,-9,-1
60,60,22,22,-22,-4,-8,-20,4,-4,-18,-6,14,4,2,16,-12,10,-18,-6,4,10,12,-18,14,0,6,4,2,0,-8,0
61,61,23,23,-23,-5,-9,-19,5,-3,-19,-7,13,5,1,15,-11,11,-17,-7,3,11,13,-19,13,1,7,3,3,-1,-7,-1
62,62,24,22,-24,-6,-8,-20,4,-4,-20,-6,12,6,0,16,-12,10,-18,-6,2,10,12,-20,12,0,8,4,2,0,-6,0
63,63,23,23,-25,-5,-7,-19,5,-5,-21,-5,13,7,1,17,-11,9,-17,-7,3,11,13,-19,13,-1,7,5,1,1,-7,1
64,64,22,22,-26,-6,-6,-20,6,-4,-22,-6,14,8,2,16,-10,10,-18,-8,4,10,12,-20,14,-2,8,6,0,0,-6,0
65,65,23,23,-27,-5,-5,-19,5,-5,-21,-7,15,9,1,17,-11,9,-19,-9,3,9,11,-21,13,-1,7,7,-1,1,-7,1
66,66,22,24,-28,-4,-6,-18,4,-4,-22,-6,16,8,2,18,-12,10,-18,-10,4,10,12,-20,12,-2,6,8,-2,2,-6,0
67,67,23,25,-29,-3,-7,-19,5,-5,-23,-5,17,7,1,19,-13,11,-17,-9,3,9,13,-19,13,-3,5,7,-1,3,-5,-1
68,68,24,24,-30,-4,-8,-20,4,-6,-24,-6,18,6,0,20,-14,12,-16,-8,4,8,12,-18,14,-2,4,8,-2,4,-6,-2
69,69,25,25,-31,-5,-7,-21,3,-5,-25,-5,19,5,-1,19,-15,11,-17,-7,5,7,11,-19,15,-1,5,9,-1,5,-5,-1
70,70,26,26,-30,-6,-6,-22,4,-4,-26,-4,20,6,-2,20,-16,12,-16,-8,6,6,12,-20,14,0,4,8,-2,4,-4,-2
71,71,25,27,-31,-5,-5,-23,5,-3,-27,-5,21,5,-1,21,-17,13,-15,-9,5,7,13,-19,13,-1,5,7,-3,5,-5,-3
72,72,24,28,-30,-6,-6,-24,6,-2,-28,-6,22,4,0,20,-16,14,-16,-10,6,6,12,-18,12,0,4,8,-4,4,-4,-2
73,73,25,27,-31,-5,-5,-25,7,-1,-29,-7,23,3,1,19,-15,13,-15,-11,7,7,11,-17,13,-1,3,7,-3,3,-5,-3
74,74,24,26,-30,-6,-6,-26,8,-2,-30,-6,24,4,2,18,-14,12,-16,-12,8,6,10,-16,14,-2,2,8,-2,4,-6,-2
75,75,23,25,-29,-5,-7,-25,9,-3,-29,-7,23,5,3,17,-13,11,-17,-13,7,5,9,-15,15,-3,3,9,-1,5,-7,-1
76,76,24,26,-30,-4,-6,-26,10,-4,-30,-8,24,6,2,16,-12,12,-18,-14,6,6,8,-14,14,-4,4,10,0,6,-8,0
77,77,25,27,-31,-3,-5,-25,9,-5,-31,-7,23,5,3,17,-11,13,-17,-13,5,5,9,-13,13,-5,5,11,-1,7,-9,-1
